Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,MA_200,RSI,MACD,Signal,Histogram
2018-07-19,7378.200195,7494.459961,7295.459961,7466.859863,7466.859863,5111629824,6647.2024903,6756.788994120001,8922.29855718,68.69725310289888,114.9542177959911,-22.29390901720274,137.24812681319384
2018-07-20,7467.399902,7594.669922,7323.259766,7354.129883,7354.129883,4936869888,6694.708984450001,6753.98819334,8890.783205619999,64.84892115798513,148.13050484283758,11.790973754805325,136.33953108803226
2018-07-21,7352.720215,7437.640137,7262.410156,7419.290039,7419.290039,3726609920,6746.3824951999995,6751.54499022,8852.96915777,62.93626112993466,177.6331865707907,44.959416318002404,132.6737702527883
2018-07-22,7417.799805,7537.950195,7383.819824,7418.490234,7418.490234,3695460096,6786.5979981,6747.045791,8814.05660894,65.41149957440392,198.65971132550112,75.69947531950216,122.96023600599896
2018-07-23,7414.709961,7771.5,7409.100098,7711.109863,7711.109863,5132480000,6845.673999050001,6746.86298826,8774.61615728,70.60872724607432,236.2124323347416,107.80206672255005,128.41036561219155
2018-07-24,7716.509766,8424.269531,7705.5,8424.269531,8424.269531,7277689856,6937.00998535,6765.05897458,8729.590004935,89.46811664262148,319.8324302042638,150.2081394188928,169.624290785371
2018-07-25,8379.660156,8416.870117,8086.359863,8181.390137,8181.390137,5845400064,7014.12248535,6776.011582000001,8682.861955620001,81.5523120968964,362.3268651367471,192.63188456246365,169.69498057428342
2018-07-26,8176.850098,8290.330078,7878.709961,7951.580078,7951.580078,4899089920,7078.02648925,6781.96358396,8640.231857965,79.7520890460084,373.1587183956808,228.7372513291071,144.4214670665737
2018-07-27,7950.399902,8262.660156,7839.759766,8165.009766,8165.009766,5195879936,7143.43046875,6791.6989746,8605.206408749998,81.08603169564029,394.41842220372564,261.8734855040308,132.54493669969486
2018-07-28,8169.060059,8222.849609,8110.77002,8192.150391,8192.150391,3988750080,7214.343994150001,6803.04358398,8573.19015875,81.01909763535731,408.74515256953146,291.2478189171309,117.49733365240053
2018-07-29,8205.820313,8272.259766,8141.180176,8218.459961,8218.459961,4107190016,7288.1794922,6816.7731836,8539.415959529999,80.66086159665113,417.41050356758933,316.48035584722265,100.93014772036668
2018-07-30,8221.580078,8235.5,7917.5,8180.47998,8180.47998,5551400000,7380.70598145,6844.6623828,8513.289360404999,76.77077080430026,416.41303930034064,336.46689253784626,79.94614676249438
2018-07-31,8181.200195,8181.529785,7696.930176,7780.439941,7780.439941,5287530000,7449.99248045,6862.132783179999,8482.288562065,59.159134244760644,378.9740765576198,344.968329341801,34.005747215818815
2018-08-01,7769.040039,7769.040039,7504.950195,7624.910156,7624.910156,4797620000,7519.7974853000005,6882.98378904,8448.612111870001,54.861564792569254,332.91582857904905,342.5578291892506,-9.642000610201535
2018-08-02,7634.189941,7712.77002,7523.439941,7567.149902,7567.149902,4214110000,7586.25249015,6907.328789040001,8417.58786138,51.94711577521785,288.42873849237367,331.7320110498752,-43.30327255750154
2018-08-03,7562.140137,7562.140137,7328.649902,7434.390137,7434.390137,4627150000,7644.16599115,6922.50958982,8385.66081304,51.546214868771415,239.69672097725925,313.324953035352,-73.62823205809275
2018-08-04,7438.669922,7497.490234,6984.069824,7032.850098,7032.850098,4268390000,7677.826489199999,6934.03499022,8363.37256353,43.40941678466147,166.753094787613,284.0105813858042,-117.25748659819118
